nct_id,brief_title,study_type,overall_status,start_date,study_first_post_date,enrollment,lead_sponsor,interventions,countries,has_results,preliminary_screening,screening_reason
NCT03878524,Serial Measurements of Molecular and Architectural Responses to Therapy (SMMART) PRIME Trial,INTERVENTIONAL,TERMINATED,2020-04-01,2019-03-18,2,OHSU Knight Cancer Institute,Abemaciclib; Abiraterone; Afatinib; Bevacizumab; Bicalutamide; Biospecimen Collection; Bortezomib; Cabazitaxel; Cabozantinib; Capecitabine; Carboplatin; Celecoxib; Cobimetinib; Copanlisib; Dabrafenib; Dacomitinib; Darolutamide; Dasatinib; Doxorubicin; Durvalumab; Enasidenib; Entrectinib; Enzalutamide; Erlotinib; Everolimus; Fluorouracil; Idelalisib; Imatinib; Ipilimumab; Lenvatinib; Leucovorin; Lorlatinib; Losartan; Nab-paclitaxel; Neratinib; Nivolumab; Olaparib; Oxaliplatin; Palbociclib; Panobinostat; Pembrolizumab; Pertuzumab; Ponatinib; Quality-of-Life Assessment; Regorafenib; Ruxolitinib; Sirolimus; Sorafenib; Sunitinib; Trametinib; Trastuzumab Emtansine; Tretinoin; Vemurafenib; Venetoclax; Vismodegib; Vorinostat,United States,False,exclude,Oncology indication not related to transgender health
NCT05019417,Glycerol-Phenylbutyrate Treatment in Children With MCT Mutation (Allan-Herndon- Dudley Syndrome),INTERVENTIONAL,UNKNOWN,2021-06-30,2021-08-24,6,Kaplan Medical Center,Glycerol Phenylbutyrate 1100 MG/ML,Israel,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07400419,Effects of Resistance Exercise Among TGD Individuals Initiating Estrogen-Based Gender-Affirming Hormone Therapy,INTERVENTIONAL,RECRUITING,2026-04-16,2026-02-10,60,Massachusetts General Hospital,Resistance Exercise Program; Nutrition and Exercise Counseling,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT06351501,Evaluation of the Effectiveness of Hormonal Treatment in Adolescents Suffering From Gender Dysphoria,INTERVENTIONAL,RECRUITING,2024-06-25,2024-04-08,60,Assistance Publique - Hôpitaux de Paris,hormonal treatment with cross sex hormones (testosterone or oestrogenes) started at 14 years old +/- 6 months; Cross sex hormones ( œstrogenes or testosterone) started at 15.5 years old +/- 6 months,France,False,include,Transgender population and GAHT intervention/exposure identified
NCT07448272,Letrozole 5 mg for 10 Days Versus Letrozole 10 mg for 5 Days for Ovarian Stimulation in PCOS,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2025-04-01,2026-03-04,80,Mst.Sumyara Khatun,Tab letrozole 5mg for 10 days; Tabletrozole 10mg for 5 days,Bangladesh,False,exclude,Cisgender/unrelated indication
NCT07128771,Cardiomodulatory Effects of Gender-Affirming Hormone Therapy,OBSERVATIONAL,ENROLLING_BY_INVITATION,2025-09-05,2025-08-19,450,"University Hospital, Akershus",,Norway,False,include,Transgender population and GAHT intervention/exposure identified
NCT01072825,A European Network for the Investigation of Gender Incongruence,OBSERVATIONAL,RECRUITING,2010-02-15,2010-02-22,125,"University Hospital, Ghent",questionnaires; blood sampling; clinical evaluation; Dermatology evaluation; Bone evaluation,Belgium; Italy; Netherlands; Norway,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04935164,Comparative Study of Gender Identity Disorder Versus Control,OBSERVATIONAL,RECRUITING,2021-03-26,2021-06-22,120,Centre Hospitalier Henri Laborit,Psychiatric evaluations,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03220152,Implementation of PrEP to HIV in Brazilian Transgender Women,INTERVENTIONAL,UNKNOWN,2017-07-10,2017-07-18,120,Oswaldo Cruz Foundation,emtricitabine / tenofovir 200/300 mg,Brazil,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04050371,Study of Truvada for HIV Pre Exposure Prophylaxis Using Daily Directly Observed Therapy to Look at Potential Interactions Between Truvada and Hormone Therapy,INTERVENTIONAL,COMPLETED,2017-08-03,2019-08-08,48,"University of California, San Francisco",200 mg emtricitabine and 300 mg tenofovir disoproxil fumarate,United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT03259516,Nivolumab With Chemotherapy in Refractory MDS,INTERVENTIONAL,TERMINATED,2017-05-25,2017-08-23,2,St. Petersburg State Pavlov Medical University,Nivolumab; Azacitidine; Fludarabine; Cyclophosphamide; Cytarabine; all trans retinoic acid; Sildenafil; Melphalan,Russia,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04590417,Assessment of Drug-drug Interactions Between Feminizing Hormone Therapy and Emtricitabine/Tenofovir Alafenamide Concomitantly for Pre-exposure Prophylaxis Among Transgender Women,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2022-01-24,2020-10-19,20,Thai Red Cross AIDS Research Centre,"Estradiol valerate 2 mg, cyproterone acetate 25 mg",Thailand,False,include,Transgender population and GAHT intervention/exposure identified
NCT01065220,Sex Steroids and the Serotonin Transporter,INTERVENTIONAL,COMPLETED,2010-02,2010-02-09,32,Medical University of Vienna,Testolactone undecanoate; Lynestrenol; Cyproterone Acetate; Estradiol; 5-alpha reductase inhibitor,Austria,False,include,Transgender population and GAHT intervention/exposure identified
NCT04440722,Prospective Observational Study and Biobank CKIO,OBSERVATIONAL,SUSPENDED,2020-09-01,2020-06-22,100,Odense University Hospital,,Denmark,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
