nct_id,brief_title,study_type,overall_status,start_date,study_first_post_date,enrollment,lead_sponsor,interventions,countries,has_results,preliminary_screening,screening_reason
NCT02936505,Clinical Study Evaluating Two Treatment Protocols for Immunosuppressive Drugs. Looking at 3-year Incidence of CLAD.,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2016-10-12,2016-10-18,249,Vastra Gotaland Region,Cyclosporine; Mycophenolate mofetil (MMF); Rabbit Anti thymocyte globulin; Corticosteroids; Tacrolimus,Denmark; Finland; Norway; Sweden,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04944654,"Efficacy, Tolerability and Acceptability of Biktarvy by TPLWH",INTERVENTIONAL,TERMINATED,2023-01-07,2021-06-29,1,Chelsea and Westminster NHS Foundation Trust,BIKTARVY 50Mg-200Mg-25Mg Tablet,United Kingdom,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT00450749,Lycopene in Treating Patients Undergoing Radical Prostatectomy for Prostate Cancer,INTERVENTIONAL,COMPLETED,2008-02,2007-03-22,10,National Cancer Institute (NCI),placebo; therapeutic conventional surgery; laboratory biomarker analysis; lycopene,United States,True,exclude,Oncology indication not related to transgender health
NCT06969326,Topical Estrogen: Brief Intervention to Improve Postoperative Experience for Transgender Men Undergoing Hysterectomy,INTERVENTIONAL,RECRUITING,2025-05-01,2025-05-13,48,Women and Infants Hospital of Rhode Island,Use of topical estradiol; No intervention,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT02715232,Effects of Sex Steroids on the Serotonin System,INTERVENTIONAL,UNKNOWN,2017-02-06,2016-03-22,92,Medical University of Vienna,Testosterone; Lynestrenol; Cyproterone Acetate; Estradiol; Triptorelin acetate,Austria,False,include,Transgender population and GAHT intervention/exposure identified
NCT06298032,"A Study Investigating the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Olamkicept in Healthy Persons",INTERVENTIONAL,COMPLETED,2024-02-20,2024-03-07,49,Ferring Pharmaceuticals,Olamkicept Part A; Olamkicept Part B; Placebo,Germany,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT00833248,Neoadjuvant Study Investigating Degarelix in Patients Suffering From Prostate Cancer,INTERVENTIONAL,COMPLETED,2009-04,2009-02-02,246,Ferring Pharmaceuticals,Degarelix; Goserelin; Bicalutamide,France; Germany; Greece; Netherlands; Spain; United Kingdom; United States,True,exclude,Oncology indication not related to transgender health
NCT00711607,"A Trial to Assess the Pharmacokinetic Profile (e.g., Uptake, Distribution and Excretion of a Substance in the Body) of Nomegestrol Acetate (NOMAC), Estradiol (E2) and Estrone (E1) After Multiple and Single Dose Administration of the Combined Oral Contraception NOMAC-E2 (COMPLETED)(P05822)",INTERVENTIONAL,COMPLETED,2007-05-01,2008-07-09,25,Organon and Co,nomegestrol acetate and estradiol,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04326569,Copeptin in the Diagnosis of Post-operative Insipidus Diabetes After Pituitary Surgery,INTERVENTIONAL,COMPLETED,2022-01-03,2020-03-30,57,CHU de Reims,Blood sample,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT02741154,Role of Aromatase Inhibitor to Enhance Ovulation in Poor Responder During Induction With Short Antagonist Protocol in Cases of ICSI,INTERVENTIONAL,COMPLETED,2016-08-12,2016-04-18,50,Minia University,induction with aromataze inhibitor; HMG; GnRh a; HCG,Egypt,False,exclude,Cisgender/unrelated indication
NCT04864951,HPV Prevalence in Transpersons - a Prospective Study,INTERVENTIONAL,COMPLETED,2021-05-02,2021-04-29,203,Sophie Pils,Colli-Pee urine collection device; Survey,Austria; Slovenia,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05010707,Transgender Estradiol Affirming Therapy,INTERVENTIONAL,COMPLETED,2021-08-02,2021-08-18,39,Washington University School of Medicine,Transdermal patch; Pro-thrombotic markers; Metabolic markers; Hormone Profile; Daily Sublingual Tablet; BID Sublingual Tablet; Spironolactone,United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT04596592,Pubertal Blockade and Estradiol Effects on Cardiometabolic Health for Transitioning Youth,OBSERVATIONAL,RECRUITING,2021-02-15,2020-10-22,90,"University of Colorado, Denver",,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT05587296,"A Study to Learn More About How Well Elinzanetant Works and How Safe it is Compared to Placebo for the Treatment of Hot Flashes Caused by Anti-cancer Therapy in Women With, or at High Risk for Developing Hormone-receptor Positive Breast Cancer",INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2022-10-14,2022-10-20,474,Bayer,Elinzanetant (BAY3427080); Placebo,Austria; Belgium; Canada; Finland; France; Germany; Hungary; Ireland; Israel; Italy; Kazakhstan; Poland; Portugal; Romania; Spain; United Kingdom,True,exclude,Oncology indication not related to transgender health
NCT03964779,Prevalence of Thyroid Dysfunction and Anti-thyroid Antibodies in Infertile Women,OBSERVATIONAL,UNKNOWN,2019-05,2019-05-28,120,Cairo University,Hormonal assay; Antibody assay,Egypt,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT01812161,Effect of Low-frequency Electroacupuncture (EA) on Polycystic Ovary Syndrome,INTERVENTIONAL,COMPLETED,2012-11,2013-03-18,54,Huazhong University of Science and Technology,acupuncture protocol 1; Acupuncture protocol 2,China,False,exclude,Cisgender/unrelated indication
NCT06083766,Metabolic and Physiologic Responses to Hormone Therapy in Transgender and Gender Diverse People,OBSERVATIONAL,RECRUITING,2024-01-04,2023-10-16,24,Mayo Clinic,hormone therapy,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT01999686,"PCOS Treatment Using DLBS3233, Metformin, and Combination of Both",INTERVENTIONAL,COMPLETED,2014-10,2013-12-03,186,Dexa Medica Group,DLBS3233; Metformin XR; Placebo metformin; Placebo DLBS3233,Indonesia,False,exclude,Cisgender/unrelated indication
NCT06149065,Factors Associated With the Acne Severity Among Transmen Population: a Cross-sectional Study,OBSERVATIONAL,COMPLETED,2021-06-05,2023-11-28,247,Mahidol University,Testosterone,Thailand,False,include,Transgender population and GAHT intervention/exposure identified
NCT01292785,"Effects of Sex Steroid Hormones on Human Brain Function, Structure and Connectivity",OBSERVATIONAL,COMPLETED,2011-01,2011-02-10,80,Medical University of Vienna,Hormones,Austria,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04742491,Pre-Exposure Prophylaxis for Transgender Women in the US and South America,INTERVENTIONAL,COMPLETED,2021-03-26,2021-02-08,304,HIV Prevention Trials Network,Immediate Intervention Arm; Deferred Intervention Arm,Brazil; United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT01171911,Comparison of Intravenous Injection of Calcium Antagonist and Beta-blockade on Endothelial Shear Stress of Coronary Artery,INTERVENTIONAL,UNKNOWN,2010-10,2010-07-29,200,Nanjing Medical University,"Nicardipine , Esmolol",China,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05387577,Coagulation and Fibrinolysis of Estradiol in Transwomen,INTERVENTIONAL,TERMINATED,2021-12-07,2022-05-24,6,Medical College of Wisconsin,Estradiol Tablets; Transdermal patch; Estradiol Tablets,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT05469204,Effect of Estrogen Treatment on Drug Metabolism and Transport,INTERVENTIONAL,COMPLETED,2022-11-01,2022-07-21,22,University of Washington,Midazolam oral solution; Digoxin Oral Tablet; Acetaminophen Oral Tablet; Midazolam Injectable Solution,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04971447,Extracellular Vesicles and Endothelial Function in Transgender Subjects,INTERVENTIONAL,UNKNOWN,2022-08,2021-07-21,136,"Central Hospital, Nancy, France",gender affirming hormonal treatment in transgender men; gender affirming hormonal treatment in transgender women,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06953908,The Copenhagen Gender Identity Cohort,OBSERVATIONAL,RECRUITING,2022-02-01,2025-05-01,2000,"Rigshospitalet, Denmark",,Denmark,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04093518,Estradiol as add-on to Antipsychotics,INTERVENTIONAL,UNKNOWN,2019-12-02,2019-09-18,100,Tangent Data,Estradiol; Placebo,Moldova,False,exclude,Oncology indication not related to transgender health
NCT06239766,BC Risk Assessment Before Top Surgery,OBSERVATIONAL,COMPLETED,2023-03-15,2024-02-02,25,Medical College of Wisconsin,Breast Cancer Risk Assessment,United States,False,exclude,Oncology indication not related to transgender health
NCT03595956,Transgender Cohort Study of Gender Affirmation and HIV-related Health,OBSERVATIONAL,UNKNOWN,2019-02-11,2018-07-23,4500,Fenway Community Health,Medical gender affirmation,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05244694,Impact of Insulin on Sympathetic Nervous System-mediated Peripheral Vasoconstriction,INTERVENTIONAL,COMPLETED,2020-08-06,2022-02-17,28,University of Missouri-Columbia,Insulin,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04321551,Hormone Secretion in Transgender Males,INTERVENTIONAL,WITHDRAWN,2023-07-01,2020-03-25,0,"University of California, San Diego",Testosterone Cyp 200Mg/Ml Inj (in Oil); Letrozole,,False,include,Transgender population and GAHT intervention/exposure identified
NCT07746999,North Jersey Community Research Initiative (NJCRI) Study on Transgender Liver Health,OBSERVATIONAL,ENROLLING_BY_INVITATION,2025-03-15,2026-08-05,60,Corey DeStefano,,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05725967,Endoscopic Metabolic and Bariatric Therapies,OBSERVATIONAL,ENROLLING_BY_INVITATION,2022-07-08,2023-02-13,5000,"Christopher C. Thompson, MD, MSc","Primary Obesity Endoscopic Procedures; Endoscopic Revision of Bariatric Surgical Procedures; Bariatric Surgery Procedures; Endoscopic Sleeve Gastroplasty, Trans-oral Outlet Reduction; Intragastric Balloon; Primary obesity surgery endoluminal, Restorative obesity surgery endoluminal; Argon Plasma Coagulation, Gastroplasty with Endoscopic Myotomy, Bariatric Endoscopic Antral Myotomy, Pylorus Sparing Antral Myotomy; Aspiration Therapy",United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03436992,Estrogen and Diabetes,INTERVENTIONAL,COMPLETED,2018-04-17,2018-02-19,143,Augusta University,Antioxidant Cocktail; Resveratrol; Placebo,United States,True,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT01653925,Molecular Mechanisms of Dutasteride and Dietary Interventions to Prevent Prostate Cancer and Reduce Its Progression,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2010-10-28,2012-07-31,120,CHU de Quebec-Universite Laval,Dietary intervention first; Drug (Dutasteride) intervention first,Canada,False,exclude,Oncology indication not related to transgender health
NCT04515472,Effect of Gender Affirming Hormone Therapy on Glucose Metabolism,INTERVENTIONAL,TERMINATED,2020-06-17,2020-08-17,24,The University of Texas Health Science Center at San Antonio,Botnia Clamp; Withdrawal of Gender Affirming Hormone Therapy (GAHT),United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04237467,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Men,OBSERVATIONAL,COMPLETED,2020-01-29,2020-01-23,16,"University of Colorado, Denver",No intervention,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT03191474,Linkage of Transgender Individuals to PrEP,INTERVENTIONAL,COMPLETED,2017-07-28,2017-06-19,202,"University of California, San Diego",T-POWr Intervention,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07755059,Proximal Splenic Artery Embolization (PSAE) for the Treatment of Refractory Ascites in Decompensated Cirrhosis,INTERVENTIONAL,NOT_YET_RECRUITING,2026-10-01,2026-08-10,60,Massachusetts General Hospital,Proximal Splenic Artery Embolization,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03484611,Prediction of Metaphase II Oocytes According to Different Levels of Serum AMH in Poor Responders Using the Antagonist Protocol,INTERVENTIONAL,UNKNOWN,2013-01,2018-04-02,179,Cairo University,GnRH antagonist; Gonadotropins; Human chorionic gonadotropin; Embryo transfer; Progesterone,Egypt,False,exclude,Cisgender/unrelated indication
NCT06418347,Effect of ALA Combined With Letrozole on Polycystic Ovary Syndrome Clinical Outcome in Infertile Females,INTERVENTIONAL,UNKNOWN,2024-04-01,2024-05-17,150,Ain Shams University,Alpha lipoic acid; Letrozole,Egypt,False,exclude,Cisgender/unrelated indication
NCT04733144,Bioequivalence Study of Prednisolone and Dexamethasone,INTERVENTIONAL,UNKNOWN,2021-03-04,2021-02-01,24,University Medical Center Groningen,Prednisolone; Dexamethasone,Netherlands,False,exclude,Cisgender/unrelated indication
NCT02264743,Oral Verses Patch Trial In Menopausal Women - Individualisation of Oestrogen Therapy,INTERVENTIONAL,UNKNOWN,2013-11,2014-10-15,60,Royal Brompton & Harefield NHS Foundation Trust,Femoston Conti; EVOREL® CONTI,United Kingdom,False,exclude,Cisgender/unrelated indication
NCT00023543,Reduction of Triglycerides in Women on Hormone Replacement Therapy,INTERVENTIONAL,COMPLETED,2001-09,2001-09-07,508,University of Pittsburgh,"Diet, fat-restricted; Exercise",United States,False,exclude,Cisgender/unrelated indication
NCT03989778,Vitamin D and Polycystic Ovarian Syndrome (PCOS),INTERVENTIONAL,RECRUITING,2023-02-01,2019-06-18,300,Aga Khan University,Vitamin D,Pakistan,False,exclude,Cisgender/unrelated indication
NCT03836027,Fertility Desires and Reproductive Needs of Transgender People,OBSERVATIONAL,COMPLETED,2019-04-11,2019-02-11,100,"Central Hospital, Nancy, France",No intervention,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06710496,HISTOLOGICAL RESULTS IN TRANSGENDER INDIVIDUALS ASSIGNED TO FEMALES AT BIRTH UNDERGOING GENDER AFFIRMATION SURGERY AND IN TESTOSTERONE THERAPY,OBSERVATIONAL,NOT_YET_RECRUITING,2024-12,2024-11-29,100,IRCCS Azienda Ospedaliero-Universitaria di Bologna,analysis of medical records,Italy,False,include,Transgender population and GAHT intervention/exposure identified
NCT04760691,Pre-Exposure Prophylaxis (PrEP)- Gender Affirming Hormone Therapy (GAHT) Interactions in TGW,INTERVENTIONAL,COMPLETED,2021-03-01,2021-02-18,13,Johns Hopkins University,Truvada alone; Truvada plus Leuprolide 11.25mg intramuscular injection; Truvada plus Estradiol 1 mg; Truvada plus Estradiol 6 mg; Estradiol 6 mg alone,United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT07187947,Cardiovascular Health of Transgender Individuals During the Gender-affirming Pathway,OBSERVATIONAL,RECRUITING,2025-07-18,2025-09-23,500,IRCCS Azienda Ospedaliero-Universitaria di Bologna,Feminizing GAHT; Masculinizing GAHT,Italy,False,include,Transgender population and GAHT intervention/exposure identified
NCT07148921,Perception of Pain During Gender Affirming Hormone Therapy,OBSERVATIONAL,RECRUITING,2024-12-01,2025-08-29,40,Medical University of Vienna,Quantitative Sensory Testing; Patient Health Questionnaire 9; Hormone concentrations,Austria,False,include,Transgender population and GAHT intervention/exposure identified
NCT02551367,Letrozole Versus Clomiphene Citrate for Ovulation Induction in Women With Poly Cystic Ovary Syndrome ( PCOS ),INTERVENTIONAL,UNKNOWN,2015-10,2015-09-16,110,mostafa gomaa hamid halawa,Letrozole; Clomiphene citrate; hcg hormone,,False,exclude,Cisgender/unrelated indication
NCT02381340,ACE Stapler Sub Study,OBSERVATIONAL,COMPLETED,2012-06,2015-03-06,10,Maastricht University Medical Center,ACE stapling procedure,Netherlands,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04309760,Developmental Correlates and Hormone Therapy Effects in Gender Dysphoria,INTERVENTIONAL,WITHDRAWN,2021-02,2020-03-16,0,Hôpital le Vinatier,MRI,,False,include,Transgender population and GAHT intervention/exposure identified
NCT05489159,Sleep and IR in Transgender Adolescents,OBSERVATIONAL,COMPLETED,2022-10-12,2022-08-05,10,Duke University,,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT01882985,"Docetaxel Plus Lycopene in Castration Resistant, Chemotherapy-Naïve Prostate Cancer Patients",INTERVENTIONAL,COMPLETED,2010-12,2013-06-21,14,"University of California, Irvine",Docetaxel; Lycopene,United States,True,exclude,Oncology indication not related to transgender health
NCT01897324,IVF/ICSI Protocols in Poor Responders With Growth Hormone,INTERVENTIONAL,COMPLETED,2013-07,2013-07-11,287,"Woman's Health University Hospital, Egypt","Growth hormone (Norditropin, Novo nordisk)",Egypt,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT00705796,Influence of Administration Route of Testosterone on Male Fertility,INTERVENTIONAL,WITHDRAWN,,2008-06-26,0,Acerus Pharmaceuticals Corporation,"MPP10, testosterone; Testosterone",Netherlands,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT02378246,Swedish Iodine in Pregnancy and Development in Children (SWIDDICH) Study,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2012-11,2015-03-04,1337,Göteborg University,Iodine; Placebo,Sweden,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06573177,Optimizing Individual Health Care for Young People With Gender Incongruence,OBSERVATIONAL,RECRUITING,2022-01-01,2024-08-27,1300,"Rigshospitalet, Denmark",Referral to the gender identity service.,Denmark,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04977765,Cardiometabolic Health in Transgender Males,OBSERVATIONAL,ACTIVE_NOT_RECRUITING,2021-09-30,2021-07-27,90,Medical College of Wisconsin,,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04600986,Repeated Doses of GnRH Agonist as Oocyte Triggering in Antagonist Protocol for Patients With Polycystic Ovary Syndrome,INTERVENTIONAL,COMPLETED,2020-05-30,2020-10-23,70,Royan Institute,Repeated dose of GnRH agonist,Iran,False,exclude,Cisgender/unrelated indication
NCT05829018,Elucidating the High Cardiovascular Disease Risk in South Asians,INTERVENTIONAL,UNKNOWN,2023-04,2023-04-25,48,Leiden University Medical Center,Mixed meal test,Netherlands,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04586348,Prenatal Iodine Supplementation and Early Childhood Neurodevelopment,INTERVENTIONAL,UNKNOWN,2021-01-18,2020-10-14,794,South Australian Health and Medical Research Institute,Low Iodine Supplement; Standard Iodine Supplement,Australia,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06482385,Transmasculine Quality of Life and Sexual Function at Pre and Post Gender-affirming Hormonal Therapy,OBSERVATIONAL,COMPLETED,2022-09-15,2024-07-01,40,Chulalongkorn University,,Thailand,False,include,Transgender population and GAHT intervention/exposure identified
NCT06436560,Support for Transgender and Non-Binary Individuals Seeking Vaginoplasty Study,INTERVENTIONAL,ENROLLING_BY_INVITATION,2024-12-10,2024-05-31,290,Oregon Health and Science University,STRIVE Peer Support Intervention,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT01828320,"Triple Vulnerability? Circadian Tendency, Sleep Deprivation and Adolescence",INTERVENTIONAL,COMPLETED,2013-03,2013-04-10,176,"University of California, Berkeley","Cognitive Behavior Therapy for Insomnia, Interpersonal and Social Rhythms Therapy, Chronotherapy; Psychoeducation",United States,True,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06816355,Exogenous Sex Hormones and PONV,OBSERVATIONAL,COMPLETED,2025-02-04,2025-02-10,7348,Riverside University Health System Medical Center,Orchiectomy; Hysterectomy; Augmentation mammoplasty,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT05808387,The Effects of Resveratrol on Sirtuins and Apoptosis Biomarkers,INTERVENTIONAL,UNKNOWN,2023-03-06,2023-04-11,80,InCor Heart Institute,Resveratrol; Placebo,Brazil,False,exclude,Cisgender/unrelated indication
NCT04071574,Comparative Study on the Efficacy of Ovarian Stimulation Protocols on the Success Rate of ICSI in Female Infertility,INTERVENTIONAL,COMPLETED,2018-02-01,2019-08-28,200,Lebanese University,Human Chorionic Gonadotropin (hCG); Gonadotropins; GNRH-A Triptorelin; GnRH antagonist,Lebanon,False,exclude,Cisgender/unrelated indication
NCT02185274,Observational Study on Metabolism and Psychopathology in Transsexual Patients,OBSERVATIONAL,COMPLETED,2013-10,2014-07-09,100,Max-Planck-Institute of Psychiatry,,Germany,False,include,Transgender population and GAHT intervention/exposure identified
NCT05318755,China Gender-affirming Hormone Therapy Study,OBSERVATIONAL,RECRUITING,2022-04-16,2022-04-08,240,Peking University Third Hospital,GAHT for transgender men; GAHT for transgender women,China,False,include,Transgender population and GAHT intervention/exposure identified
NCT03620734,Study to Determine Interaction Between the Use of Feminizing Hormone Therapy and Antiretroviral Agents Concomitantly Among Transgender Women,OBSERVATIONAL,COMPLETED,2017-11-30,2018-08-08,40,Thai Red Cross AIDS Research Centre,,Thailand,False,include,Transgender population and GAHT intervention/exposure identified
NCT03572387,A Pilot Study of 5-AZA and ATRA for Prostate Cancer With PSA-only Recurrence After Local Treatment,INTERVENTIONAL,COMPLETED,2018-08-20,2018-06-28,14,Icahn School of Medicine at Mount Sinai,5-Azacitidine; all trans retinoic acid; Lupron,United States,True,exclude,Oncology indication not related to transgender health
NCT06450405,Androgen Effects on the Reproductive Neuroendocrine Axis,INTERVENTIONAL,TERMINATED,2025-02-26,2024-06-10,2,"University of California, San Diego",Testosterone Cypionate 50 MG/ML Injectable Solution,United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT05649605,Early Mental Response - The EMRE Study,INTERVENTIONAL,RECRUITING,2023-03-07,2022-12-14,70,Karolinska University Hospital,Testosterone treatment; Placebo treatment,Sweden,False,include,Transgender population and GAHT intervention/exposure identified
NCT06515834,"Investigating the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Olamkicept in Healthy Japanese Persons",INTERVENTIONAL,COMPLETED,2024-07-01,2024-07-23,24,Ferring Pharmaceuticals,FE 999301; Placebo,Japan,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07417787,Point of Care Tests in the Management of Very Early Medical Abortion,OBSERVATIONAL,RECRUITING,2026-04-23,2026-02-18,130,University of Edinburgh,Blood test; Participant Questionnaire,Sweden; United Kingdom,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03876145,The Four Methods of Ovarian Stimulation in Patients With Polycystic Ovarian Syndrome,INTERVENTIONAL,COMPLETED,2016-11-12,2019-03-15,120,Royan Institute,Minimal ovarian stimulation,Iran,False,exclude,Cisgender/unrelated indication
NCT02524041,Association Between Serum Periostin Levels and Cortical Porosity in Patients With Secondary Hyperparathyroidism,INTERVENTIONAL,COMPLETED,2014-03,2015-08-14,22,Centre Hospitalier Universitaire de Saint Etienne,HR-pQCT; blood specimen,France,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05891795,Clascoterone for Steroid-related Acne Vulgaris in Transgender Male Patients Receiving Masculinizing Hormone Therapy,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2024-07-22,2023-06-07,18,Stanford University,Clascoterone 1% Top Cream; Vehicle,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04608695,Ovarian Needle Puncture for Follicle Activation in IVF Patients With Diminished Ovarian Reserve,INTERVENTIONAL,UNKNOWN,2020-07-01,2020-10-29,34,Hacettepe University,Ovarian puncture,Turkey (Türkiye),False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT00866554,Efficacy and Toxicity of Bicalutamide and Dutasteride vs. Standard Care for Prostate Cytoreduction for Brachytherapy,INTERVENTIONAL,COMPLETED,2009-03,2009-03-20,60,CHU de Quebec-Universite Laval,"administration of a LHRH agonist and Bicalutamide; administration of Bicalutamide, Dutasteride and Tamoxifen",Canada,False,exclude,Oncology indication not related to transgender health
NCT06733415,Changes in Energy Expenditure (EE) in Transsexuals Undergoing Hormonal Therapy,OBSERVATIONAL,ENROLLING_BY_INVITATION,2024-01-03,2024-12-13,40,Tel-Aviv Sourasky Medical Center,,Israel,False,include,Transgender population and GAHT intervention/exposure identified
NCT03528135,Project PRIDE (Promoting Resilience In Discriminatory Environments),INTERVENTIONAL,COMPLETED,,,17,,Project PRIDE,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05853120,Doxy-Post-exposure Prophylaxis,INTERVENTIONAL,COMPLETED,,,45,,Doxycycline,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06939257,Pain Outcomes Associated With Exogenous Hormone Therapy in Adults,OBSERVATIONAL,RECRUITING,,,200,,,,False,include,Transgender population and GAHT intervention/exposure identified
NCT07181551,Forward to Quit: A Person-centered Mobile Technology Intervention for Smoking Cessation Among Transgender Adults,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,,,47,,Forward to Quit (F2Q),,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07286123,Gender Affirming Vaginoplasty With Tubularized Augmented Peritoneal Cap (TAPCap) Utilizing Fish Skin Xenograft (Kerecis™),OBSERVATIONAL,RECRUITING,,,20,,Tubularized augmented peritoneal cap vaginoplasty; Biopsy,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07480590,"GLOW: Gender-Affirming Care and Mental Health: A Longitudinal Study On Quality of Life, Work Life, and Healthcare Outcomes",OBSERVATIONAL,RECRUITING,,,500,,,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06639763,Erectile Aid Use in Post-phalloplasty and Post-metoidioplasty Transgender Patients,OBSERVATIONAL,RECRUITING,,,1000,,Questionnaire,,False,include,Transgender population and GAHT intervention/exposure identified
NCT06443164,Efficacy of a Chronic Pain Treatment Prior to Gender-affirming Surgery,INTERVENTIONAL,ENROLLING_BY_INVITATION,,,78,,Empowered Relief; Standard of Care,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06565663,MaPGAS Decision Making,INTERVENTIONAL,ENROLLING_BY_INVITATION,,,140,,MaPGAS Decision Aid,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04378439,Appalachian Partnership to Reduce Disparities (Aim 2),INTERVENTIONAL,RECRUITING,,,141,,Peer Navigation; mHealth,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06502353,Plexaa For Preconditioning: Gender Affirming Mastectomy,INTERVENTIONAL,RECRUITING,,,15,,BLOOM43,,False,include,Transgender population and GAHT intervention/exposure identified
NCT07075731,Cervical and Endometrial Cancer Screening in Patients Seeking Gender-Affirming Hysterectomy,OBSERVATIONAL,RECRUITING,,,40,,No intervention,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04820088,Simulated Conversation Training for Mental Healthcare Providers to Improve Care for Transgender and Gender Nonconforming Individuals,INTERVENTIONAL,UNKNOWN,,,120,,Computer based role play trianing,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05016232,Adaptive Intervention to Facilitate PrEP Uptake/Adherence Among Transgender Women,INTERVENTIONAL,COMPLETED,,,123,,PrEP N' Shine: Strength Based Case Management (Stage 1); PrEP N' Shine: Stepped Adherence Training and Counseling (Stage 2),,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06001307,"Supporting Trans Affirmation, Relationships, and Sex, Phase 3",INTERVENTIONAL,COMPLETED,,,37,,"Program STARS (Supporting Trans Affirmation, relationships, and Sex); Relaxation and Stress Reduction",,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07681908,#TranscendentHealth: A Text Messaging Pregnancy Prevention Program for Transgender Boys,INTERVENTIONAL,NOT_YET_RECRUITING,,,467,,#TranscendentHealth; Universal Sexual Health Program,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06094257,Prospective Study of Sensation and Satisfaction in Cancer and Transgender Mastectomy Patients,OBSERVATIONAL,RECRUITING,,,400,,Sensory testing,,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
